ISO,,LCR,Definition of capital,Risk coverage,Capital conservation buffer,Countercyclical capital buffer,Leverage ratio,,Statute
ALB,Albania, Draft regulation not published,Final rule in force, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
DZA,Algeria, ,,,,,,,4
AGO,Angola,Draft regulation published,Draft regulation published,Draft regulation published, , , ,,4
ARM,Armenia, Draft regulation not published,Final rule published, , Draft regulation not published, Draft regulation not published, ,,4
ABM,Aruba,No Basel III,,,,,,,0
BHS,Bahamas, Draft regulation not published,Draft regulation published, , Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
BHR,Bahrain, Draft regulation not published,Final rule in force,Final rule in force,Final rule in force, Draft regulation not published,Draft regulation published,,4
BGD,Bangladesh,Final rule in force,Final rule in force,Not applicable,Final rule in force, Draft regulation not published,Final rule in force,,6
BRB,Barbados, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,0
BLR,Belarus,Final rule published,Final rule published, ,Final rule published,Final rule published,Final rule published,,4
BLZ,Belize,No Basel III,,,,,,,0
BMU,Bermuda,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,,6
BTN,Bhutan, Draft regulation not published,, , , , Draft regulation not published,,0
BOL,Bolivia, ,Final rule published, , ,Final rule published, ,,4
BIH,Bosnia and Herzegovinia, Draft regulation not published, Draft regulation not published, Draft regulation not published,Draft regulation published,Draft regulation published,Draft regulation published,,2
BWA,Botswana, Draft regulation not published,Draft regulation published,,,,,,2
VGB,British Virgin Islands, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,0
BRN,Brunei,No Basel III,,,,,,,0
CYM,Cayman Islands, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
CHL,Chile,Draft regulation published, Draft regulation not published, Draft regulation not published, Draft regulation not published, , Draft regulation not published,,0
TWN,Chinese Taipei,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,,6
COL,Colombia,Final rule in force,Final rule in force, , , , ,,4
COK,Cook Islands,No Basel III,,,,,,,0
CRI,Costa Rica,Draft regulation published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
SXM,Cuaçao and Sint Maarten,No Basel III,,,,,,,0
CUB,Cuba, Draft regulation not published, Draft regulation not published, , Draft regulation not published, , Draft regulation not published,,4
COD,Democratic Republic of the Congo, , Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
DOM,Dominican Republic,Draft regulation published,, Draft regulation not published,,,,,2
ECU,Ecuador, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
EGY,Egypt,Draft regulation published,Not applicable,,Not applicable,Not applicable, Draft regulation not published,,4
SLV,El Salvador, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,0
FJI,Fiji ,No Basel III,,,,,,,0
GMB,Gambia,No Basel III,,,,,,,0
GEO,Georgia,Draft regulation published,Final rule in force, , Draft regulation not published, Draft regulation not published,Not applicable,,6
GHA,Ghana,No Basel III,,,,,,,0
GIB,Gibraltar,Draft regulation published,Draft regulation published,Draft regulation published,Draft regulation published,Draft regulation published,Draft regulation published,,6
GTM,Guatemala, Draft regulation not published, Draft regulation not published, , Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
GGY,Guernsey, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,, Draft regulation not published,,2
GIN,Guinea,No Basel III,,,,,,,0
GUY,Guyana,No Basel III,,,,,,,0
HTI,Haiti,No Basel III,,,,,,,0
HND,Honduras,No Basel III,,,,,,,0
ISL,Iceland,Final rule in force,Draft regulation published,Draft regulation published,Final rule published,Final rule published,Draft regulation published,,6
IMN,Isle of Man, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
ISR,Israel ,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,,,6
JAM,Jamaica, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,0
JEY,Jersey,, Draft regulation not published,,,, Draft regulation not published,,2
JOR,Jordan, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,4
KEN,Kenya,,Final rule in force,,Final rule in force,,,,4
RKS,Kosovo,Not applicable,Not applicable, ,Not applicable,Not applicable,Not applicable,,4
KWT,Kuwait, Draft regulation not published,Final rule in force,Final rule in force,Final rule in force,Final rule published, Draft regulation not published,,6
KGZ,Kyrgyz Republic,No Basel III,,,,,,,0
LAO,Laos,No Basel III,,,,,,,0
LBN,Lebanon,Draft regulation published,Final rule in force,,Final rule in force, Draft regulation not published,Draft regulation published,,4
LSO,Lesotho,No Basel III,,,,,,,0
LBR,Liberia,,,,,,Final rule in force,,2
LIE,Liechtenstein,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,,8
MAC,Macao, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
MKD,Macedonia,Final rule in force,Final rule in force, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,4
MDG,Madagascar,, Draft regulation not published,,,,,,0
MWI,Malawi, Draft regulation not published, Draft regulation not published,,,, Draft regulation not published,,2
MYS,Malaysia,Final rule published,Final rule in force,, Draft regulation not published, Draft regulation not published,,,6
MUS,Mauritus,,Final rule in force,,Final rule in force,,,,6
MDA,Moldova,No Basel III,,,,,,,0
MNG,Mongolia, Draft regulation not published,Final rule in force, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
MON,Montenegro, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,4
MAR,Morocco,Final rule in force,Final rule in force,Not applicable,Final rule in force, Draft regulation not published, Draft regulation not published,,6
MOZ,Mozambique,No Basel III,,,,,,,4
NAM,Namibia, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,,4
NPL,Nepal,Draft regulation published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
NZL,New Zealand,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule in force,,,6
NGA,Nigeria, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,6
NOR,Norway,Final rule published,Final rule in force,Final rule in force,Final rule in force,Final rule in force,Final rule published,,8
OMN,Oman,Final rule in force,Final rule in force,,,Final rule in force, Draft regulation not published,,4
PAK,Pakistan, Draft regulation not published,Final rule in force, Draft regulation not published,Final rule in force,Final rule in force,Final rule in force,,6
PAN,Panama, Draft regulation not published,Final rule published, Draft regulation not published,Final rule published,Final rule published,Final rule published,,2
PNG,Papua New Guinea, Draft regulation not published, Draft regulation not published,,,, Draft regulation not published,,0
PRY,Paraguay, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,0
PER,Peru ,Final rule published,, ,,,,,4
PHL,Philippines,Draft regulation published,Final rule in force,Draft regulation published,Final rule in force,Not applicable,Draft regulation published,,6
QAT,Qatar,Final rule in force,Final rule in force,Final rule in force,Final rule in force,,Final rule in force,,2
SCG,Serbia, Draft regulation not published, Draft regulation not published, Draft regulation not published,Final rule in force, Draft regulation not published, Draft regulation not published,,4
SYC,Seychelles,No Basel III,,,,,,,0
LKA,Sri Lanka,Final rule in force, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,4
KNA,St Kitts and Nevis,No Basel III,,,,,,,0
SWZ,Swaziland,No Basel III,,,,,,,0
TZA,Tanzania,No Basel III,,,,,,,0
THA,Thailand, Draft regulation not published,Final rule in force,,,,,,4
TTO,Trinidad and Tobago, Draft regulation not published,, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,2
TUN,Tunisia,Final rule in force,Final rule in force,Not applicable,,Not applicable,Not applicable,,4
TCA,Turks and Caicos Islands,No Basel III,,,,,,,0
UGA,Uganda,Draft regulation published,Draft regulation published,Draft regulation published,Draft regulation published,Draft regulation published,Draft regulation published,,2
ARE,United Arab Emirates,Draft regulation published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published, Draft regulation not published,,4
URY,Uruguay,Draft regulation published,Not applicable,, Draft regulation not published, Draft regulation not published,Final rule in force,,4
VUT,Vanuatu,,Final rule published,,Final rule published,,,,2
