ISO,Pays,Banque centrale,,Institution financière
DZA,Algeria,Bank of Algeria,,BRI
ARG,Argentina,Central Bank of Argentina,,BRI
AUS,Australia,Reserve Bank of Australia,,BRI
AUT,Austria,Central Bank of the Republic of Austria,,BRI
BEL,Belgium,National Bank of Belgium,,BRI
BIH,Bosnia and Herzegovina,Central Bank of Bosnia and Herzegovina,,BRI
BRA,Brazil,Central Bank of Brazil,,BRI
BGR,Bulgaria,Bulgarian National Bank,,BRI
CAN,Canada,Bank of Canada,,BRI
CHL,Chile,Central Bank of Chile,,BRI
CHN,China,People's Bank of China,,BRI
COL,Colombia,Central Bank of Colombia,,BRI
HRV,Croatia,Croatian National Bank,,BRI
CZE,Czech Republic,Czech National Bank,,BRI
DNK,Denmark,Danmarks Nationalbank (Denmark),,BRI
EST,Estonia,Bank of Estonia,,BRI
EU,European Union,European Central Bank,,BRI
FIN,Finland,Bank of Finland,,BRI
FRA,France,Bank of France,,BRI
DEU,Germany,Deutsche Bundesbank (Germany),,BRI
GRC,Greece,Bank of Greece,,BRI
HKG,Hong Kong,Hong Kong Monetary Authority,,BRI
HUN,Hungary,Magyar Nemzeti Bank (Hungary),,BRI
ISL,Iceland,Central Bank of Iceland,,BRI
IND,India,Reserve Bank of India,,BRI
IDN,Indonesia,Bank Indonesia,,BRI
IRL,Ireland,Central Bank of Ireland,,BRI
ISL,Israel,Bank of Israel,,BRI
ITA,Italy,Bank of Italy,,BRI
JPN,Japan,Bank of Japan,,BRI
KOR,Korea,Bank of Korea,,BRI
LVA,Latvia,Bank of Latvia,,BRI
LTU,Lithuania,Bank of Lithuania,,BRI
LUX,Luxembourg,Central Bank of Luxembourg,,BRI
MKD,Macedonia,National Bank of the Republic of North Macedonia,,BRI
MYS,Malaysia,Central Bank of Malaysia,,BRI
MEX,Mexico,Bank of Mexico,,BRI
NLD,Netherlands,Netherlands Bank,,BRI
NZL,New Zealand,Reserve Bank of New Zealand,,BRI
NOR,Norway ,Central Bank of Norway,,BRI
PER,Peru,Central Reserve Bank of Peru,,BRI
PHL,Philippines,Bangko Sentral ng Pilipinas (Philippines),,BRI
POL,Poland ,National Bank of Poland,,BRI
PRT,Portugal,Bank of Portugal,,BRI
ROM,Romania,National Bank of Romania,,BRI
RUS,Russia,Central Bank of the Russian Federation,,BRI
SAU,Saudi Arabia,Saudi Arabian Monetary Authority,,BRI
SCG,Serbia,National Bank of Serbia,,BRI
SGP,Singapore,Monetary Authority of Singapore,,BRI
SVK,Slovakia,National Bank of Slovakia,,BRI
SVN,Slovenia,Bank of Slovenia,,BRI
ZAF,South Africa ,South African Reserve Bank,,BRI
ESP,Spain ,Bank of Spain,,BRI
SZE,Sweden ,Sveriges Riksbank (Sweden),,BRI
CHE,Switzerland ,Swiss National Bank,,BRI
THA,Thailand,Bank of Thailand,,BRI
TUR,Turkey,Central Bank of the Republic of Turkey,,BRI
ARE,United Arab Emirates,Central Bank of the United Arab Emirates,,BRI
GBR,United Kingdom,Bank of England,,BRI
USA,United States of America,Board of Governors of the Federal Reserve System (United States),,BRI
