ISO,Pays,Institution
AFG,"Afghanistan, Islamic Republic of",FMI
ALB,Albania ,FMI
DZA,Algeria ,FMI
AGO,Angola,FMI
ATG,Antigua and Barbuda ,FMI
ARG,Argentina ,FMI
ARM,Armenia ,FMI
AUS,Australia ,FMI
AUT,Austria ,FMI
AZE,Azerbaijan ,FMI
BHS,"Bahamas, The ",FMI
BHR,Bahrain ,FMI
BGD,Bangladesh ,FMI
BRB,Barbados ,FMI
BLR,Belarus ,FMI
BEL,Belgium ,FMI
BLZ,Belize ,FMI
BEN,Benin ,FMI
BTN,Bhutan,FMI
BOL,Bolivia ,FMI
BIH,Bosnia and Herzegovina,FMI
BWA,Botswana ,FMI
BRA,Brazil ,FMI
BRN,Brunei Darussalam ,FMI
BGR,Bulgaria ,FMI
BFA,Burkina Faso ,FMI
BDI,Burundi,FMI
CPV,Cabo Verde ,FMI
KHM,Cambodia ,FMI
CMR,Cameroon ,FMI
CAN,Canada ,FMI
CAF,Central African Republic ,FMI
TCD,Chad ,FMI
CHL,Chile ,FMI
CHN,China ,FMI
COL,Colombia ,FMI
COM,Comoros ,FMI
COD,"Congo, Democratic Republic of the ",FMI
COG,"Congo, Republic of ",FMI
CRI,Costa Rica ,FMI
CIV,Côte d'Ivoire ,FMI
HRV,Croatia ,FMI
CYP,Cyprus ,FMI
CZE,Czech Republic ,FMI
DNK,Denmark ,FMI
DJI,Djibouti ,FMI
DMA,Dominica ,FMI
DOM,Dominican Republic ,FMI
ECU,Ecuador ,FMI
EGY,Egypt ,FMI
SLV,El Salvador ,FMI
GNQ,Equatorial Guinea ,FMI
ERI,Eritrea,FMI
EST,Estonia ,FMI
ETH,Ethiopia,FMI
FJI,"Fiji, Republic of ",FMI
FIN,Finland ,FMI
FRA,France ,FMI
GAB,Gabon ,FMI
GMB,"Gambia, The ",FMI
GEO,Georgia ,FMI
DEU,Germany ,FMI
GHA,Ghana ,FMI
GRC,Greece ,FMI
GRD,Grenada ,FMI
GTM,Guatemala ,FMI
GIN,Guinea ,FMI
GNB,Guinea-Bissau ,FMI
GUY,Guyana ,FMI
HTI,Haiti ,FMI
HND,Honduras ,FMI
HUN,Hungary ,FMI
ISL,Iceland ,FMI
IND,India ,FMI
IDN,Indonesia ,FMI
IRN,"Iran, Islamic Republic of ",FMI
IRQ,Iraq ,FMI
IRL,Ireland ,FMI
ISR,Israel ,FMI
ITA,Italy ,FMI
JAM,Jamaica ,FMI
JPN,Japan ,FMI
JOR,Jordan ,FMI
KAZ,Kazakhstan ,FMI
KEN,Kenya ,FMI
KIR,Kiribati ,FMI
KOR,Korea ,FMI
RKS,Kosovo,FMI
KWT,Kuwait ,FMI
KGZ,Kyrgyz Republic ,FMI
LAO,Lao People's Democratic Republic ,FMI
LVA,Latvia ,FMI
LBN,Lebanon ,FMI
LSO,Lesotho ,FMI
LBR,Liberia,FMI
LBY,Libya ,FMI
LTU,Lithuania ,FMI
LUX,Luxembourg ,FMI
MKD,"Macedonia, former Yugoslav Republic of ",FMI
MDG,Madagascar ,FMI
MWI,Malawi ,FMI
MYS,Malaysia ,FMI
MDV,Maldives,FMI
MLI,Mali ,FMI
MLT,Malta ,FMI
MHL,Marshall Islands ,FMI
MRT,Mauritania ,FMI
MUS,Mauritius ,FMI
MEX,Mexico ,FMI
FSM,"Micronesia, Federated States of ",FMI
MDA,Moldova ,FMI
MNG,Mongolia ,FMI
